Skryba Sumienny
Skryba Uczciwy
Skryba Pilny
Skryba Wierny
Skryba Spostrzegawczy
Skryba Wytrwały
Skryba Cierpliwy
Skryba Mądry
Skryba
Sumienny
Uczciwy
Pilny
Wierny
Spostrzegawczy
Wytrwały
Cierpliwy
Mądry
Skryba to twój lojalny wysłannik, łącznik i powiernik wieści od sprzymierzeńców. Zawsze z piórem i pergaminem w dłoni, gotów przekazać ci najnowsze wieści z frontu, prośby o wsparcie lub raporty o zwycięstwach.
Wróg oznajmia chęć zajęcia naszych ziem, mój panie. Przygotujmy się.
Wojska wroga dotarły, mój panie. Gotujmy się do walki.
Wróg planuje atak na nasz zamek, mój panie. Nie ma czasu do stracenia.
Wróg pragnie zdobyć nowy zamek i obrał za cel twój, mój panie.
Armia wroga została odparta, mój panie. Ale z pewnością jeszcze tu wrócą.
Wróg pragnie byśmy zaprzestali niszczenia jego zamku, mój panie.
Wróg poprzysiągł na nas zemstę, mój panie.
Wróg domaga się wycofania naszych wojsk, mój panie.
Wróg pragnie byśmy trzymali się od niego z dala, mój panie.
Wojska wroga odniosły zwycięstwo, mój panie.
Wróg zatriumfował w walce, mój panie.
Wróg chełpi się swoim ostatnim zwycięstem, mój panie.
Wróg zwyciężył nad nami, mój panie.
Sojusznik potrzebuje konkretnych towarów i prosi o ich wysłanie, mój panie.
Towary wysłane do sojusznika dotarły bezpiecznie, mój panie.
Sojusznik został pokonany. Musimy od teraz działać sami, mój panie.
Sojusznik gratuluje ci ostatniego sukcesu, mój panie.
Sojusznik pokonał jednego z naszych wspólnych wrogów, mój panie.
Sojusznik pilnie prosi o naszą pomoc, mój panie.
Sojusznik przesyła ci życzenia świąteczne, mój panie.
Tak, mój panie?
Żegnaj, mój panie...
Sojusznik rozpoczął oblężenie wrogiego zamku, mój panie.
Sojusznik nie przystąpi do ataku w tej chwili, mój panie.
Sojusznik odmówił ataku na wybranego przez nas wroga, mój panie.
Sojusznik informuje, że nie może nam pomóc, mój panie.
Sojusznik odmówił udzielenia pomocy, mój panie.
Sojusznik nie prześle towarów o które prosimy, mój panie.
Sojusznik wysłał nam towary, mój panie.
Sojusznik uważa, że wygrywamy tę wojnę, mój panie.
Sojusznik uważa, że sytuacja jest niekorzystna, mój panie.
Sojusznik wysłał nam oddziały na pomoc, mój panie.
Sojusznik zgadza się z planem, mój panie.
